Brand,ModelName,ProcessorBrand,ProcessorName,ProcessorGeneration,OS,RAM,HDD,SSD,StorageDrive,GraphicCardBrand,GraphicCardSize,Ratings,Price,Discount(%)
Lenovo,Lenovo IdeaPad Gaming Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphic...,AMD,Ryzen 5Core 4600H,Ryzen 5,Windows 10,8,1 TB,256 GB,1 TB HDD 256 GB SSD,NVIDIA,4.0,0.0,63990,26.0
Lenovo,Lenovo Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/3 GB Graphics/NVIDIA GeForce GTX 1050) L340-15...,Intel,Core i5,9th Gen,Windows 10,8,1 TB,0,1 TB HDD,NVIDIA,3.0,4.1,49990,28.0
HP,HP Pentium Quad Core - (8 GB/256 GB SSD/Windows 10 Home) 14s- DQ3018TU Thin and Light Laptop,Intel,Pentium,10th Gen,Windows 10,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.4,31490,8.0
ASUS,ASUS VivoBook 15 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) X515JA-EJ322TS Thin and Light Lapt...,Intel,Core i3,10th Gen,Windows 10,8,1 TB,0,1 TB HDD,not mentioned,0.0,4.1,34910,0.0
HP,HP 14s Ryzen 3 Quad Core 4300U - (8 GB/512 GB SSD/Windows 10 Home) 14s-fr0016AU Thin and Light Laptop,AMD,Ryzen 3Core 4300U,Ryzen 3,Windows 10,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.4,39490,11.0
Lenovo,Lenovo Ideapad S145 Core i3 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop,Intel,Core i3,10th Gen,Windows 10,8,1 TB,0,1 TB HDD,not mentioned,0.0,3.9,35990,15.0
acer,acer Aspire 7 Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce ...,AMD,Ryzen 5Core 3550H,Ryzen 5,Windows 10,8,0,512 GB,512 GB SSD,NVIDIA,4.0,4.4,49990,31.0
Lenovo,Lenovo Ideapad 5 Ryzen 7 Octa Core 4700U - (8 GB/512 GB SSD/Windows 10 Home) 14ARE05 Thin and Light La...,AMD,Ryzen 7Core 4700U,Ryzen 7,Windows 10,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.4,57990,4.0
acer,acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650...,Intel,Core i5,9th Gen,Windows 10,8,0,512 GB,512 GB SSD,NVIDIA,4.0,4.4,53990,36.0
HP,HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA GeFor...,AMD,Ryzen 5Core 3550H,Ryzen 5,Windows 10,8,1 TB,0,1 TB HDD,NVIDIA,4.0,4.2,50990,9.0
APPLE,APPLE MacBook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN63HN/A,Apple,M1,M1,Mac OS,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.7,92900,0.0
Lenovo,Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core 4800H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDI...,AMD,Ryzen 7Core 4800H,Ryzen 7,Windows 10,8,0,512 GB,512 GB SSD,NVIDIA,4.0,4.0,67990,24.0
HP,HP 15s Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/Windows 10 Home) 15s-GR0011AU Thin and Light Laptop,AMD,Ryzen 3Core 3250U,Ryzen 3,Windows 10,8,1 TB,0,1 TB HDD,not mentioned,0.0,4.2,36490,8.0
DELL,DELL Inspiron Core i5 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10) INSPIRON 3501 Notebook,Intel,Core i5,11th Gen,Windows 10,8,1 TB,256 GB,1 TB HDD 256 GB SSD,not mentioned,0.0,4.3,56033,7.0
HP,HP 14s Core i3 11th Gen - (8 GB/256 GB SSD/Windows 10 Home) 14s- DY2501TU Thin and Light Laptop,Intel,Core i3,11th Gen,Windows 10,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.6,40990,10.0
Lenovo,Lenovo IdeaPad Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14ITL6 Thin and Light Laptop,Intel,Core i3,11th Gen,Windows 10,8,0,512 GB,512 GB SSD,not mentioned,0.0,0.0,61790,0.0
Lenovo,Lenovo Ideapad S145 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) S145-15IIL Laptop,Intel,Core i5,10th Gen,Windows 10,8,1 TB,0,1 TB HDD,not mentioned,0.0,3.9,42990,35.0
HP,HP 15s Ryzen 3 Dual Core 3250U - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) 15s-GR0012AU Laptop,AMD,Ryzen 3Core 3250U,Ryzen 3,Windows 10,8,1 TB,256 GB,1 TB HDD 256 GB SSD,not mentioned,0.0,4.4,41990,5.0
DELL,DELL Inspiron Core i3 10th Gen - (8 GB/256 GB SSD/Windows 10) Inspiron 3501 Notebook,Intel,Core i3,10th Gen,Windows 10,8,0,256 GB,256 GB SSD,not mentioned,0.0,5.0,40707,0.0
ASUS,ASUS Ryzen 3 Dual Core - (4 GB/256 GB SSD/Windows 10 Home) M515DA-BQ312TS Thin and Light Laptop,AMD,Ryzen 3,Ryzen 3,Windows 10,4,0,256 GB,256 GB SSD,not mentioned,0.0,4.4,32990,13.0
ASUS,ASUS Pentium Quad Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1020T Laptop,Intel,Pentium,10th Gen,Windows 10,4,1 TB,0,1 TB HDD,not mentioned,0.0,3.8,24990,14.0
ASUS,ASUS Celeron Dual Core - (4 GB/1 TB HDD/Windows 10 Home) X543MA-GQ1015T Laptop,Intel,Celeron,10th Gen,Windows 10,4,1 TB,0,1 TB HDD,not mentioned,0.0,3.9,23490,3.0
Mi,Mi Notebook 14 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) JYU4299IN Thin and Light Laptop,Intel,Core i5,10th Gen,Windows 10,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.3,46999,4.0
Lenovo,Lenovo IdeaPad 3 Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) 14ADA05 Laptop,AMD,Ryzen 5Core 3500U,Ryzen 5,Windows 10,8,0,512 GB,512 GB SSD,not mentioned,0.0,3.9,42990,23.0
Lenovo,Lenovo Ideapad S145 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) S145-15API Thin and Ligh...,AMD,Ryzen 3Core 3200U,Ryzen 3,Windows 10,4,1 TB,0,1 TB HDD,not mentioned,0.0,3.9,28990,22.0
ASUS,ASUS VivoBook 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK582T Thin and Li...,AMD,Ryzen 5Core 4500U,Ryzen 5,Windows 10,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.4,52990,13.0
DELL,DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) �INSP 5406 2 in 1 2 in 1 Laptop,Intel,Core i5,11th Gen,Windows 10,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.3,68240,8.0
ASUS,ASUS VivoBook 15 Core i5 10th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home) X515JA-EJ512TS Thin and...,Intel,Core i5,10th Gen,Windows 10,8,1 TB,256 GB,1 TB HDD 256 GB SSD,not mentioned,0.0,4.3,53990,0.0
HP,HP 14s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s- DQ2535TU Thin and Light Laptop,Intel,Core i5,11th Gen,Windows 10,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.2,54990,5.0
Lenovo,Lenovo Legion Y540 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) Y540-15IRH-PG0 Th...,Intel,Core i5,9th Gen,Windows 10,8,0,512 GB,512 GB SSD,not mentioned,4.0,4.7,57990,31.0
Lenovo,Lenovo Legion Y540 Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Ge...,Intel,Core i5,9th Gen,Windows 10,8,1 TB,256 GB,1 TB HDD 256 GB SSD,NVIDIA,4.0,4.5,60990,29.0
HP,HP Core i3 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 15s-FR2006TU Thin and Light Laptop,Intel,Core i3,11th Gen,Windows 10,8,0,512 GB,512 GB SSD,not mentioned,0.0,4.4,45290,7.0
MSI,MSI GF63 Thin Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650...,Intel,Core i5,9th Gen,Windows 10,8,0,512 GB,512 GB SSD,NVIDIA,4.0,4.4,56990,21.0
HP,HP 15s Pentium Gold - (4 GB/1 TB HDD/Windows 10 Home) 15s-du1052TU Thin and Light Laptop,Intel,Pentium,10th Gen,Windows 10,4,1 TB,0,1 TB HDD,not mentioned,0.0,3.9,27990,5.0
acer,acer Nitro 5 Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA ...,AMD,Ryzen 5Core 4600H,Ryzen 5,Windows 10,8,1 TB,256 GB,1 TB HDD 256 GB SSD,NVIDIA,4.0,4.4,64990,17.0
APPLE,APPLE MacBook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGN93HN/A,Apple,M1,M1,Mac OS,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.7,92900,0.0
ASUS,ASUS Core i3 11th Gen - (4 GB/512 GB SSD/Windows 10 Home) Indie Black Thin and Light Laptop,Intel,Core i3,11th Gen,Windows 10,4,0,512 GB,512 GB SSD,not mentioned,0.0,4.4,41990,20.0
HP,HP Pavilion Gaming Ryzen 5 Quad Core 3550H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeF...,AMD,Ryzen 5Core 3550H,Ryzen 5,Windows 10,8,0,512 GB,512 GB SSD,NVIDIA,4.0,4.5,59990,0.0
Lenovo,Lenovo IdeaPad Gaming Ryzen 5 Hexa Core 4600H - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphic...,AMD,Ryzen 5Core 4600H,Ryzen 5,Windows 10,8,1 TB,256 GB,1 TB HDD 256 GB SSD,NVIDIA,4.0,0.0,63990,26.0
Lenovo,Lenovo IdeaPad 3 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15IIL05 Laptop,Intel,Core i5,10th Gen,Windows 10,8,1 TB,0,1 TB HDD,not mentioned,0.0,4.3,43990,31.0
HP,HP 15s Athlon Dual Core - (4 GB/1 TB HDD/Windows 10 Home) 15s-GY0001AU Thin and Light Laptop,AMD,Athlon,Ryzen,Windows 10,4,1 TB,0,1 TB HDD,not mentioned,0.0,4.1,27490,3.0
HP,HP 15s Core i3 11th Gen - (8 GB/1 TB HDD/Windows 10 Home) 15s-dy3001TU Thin and Light Laptop,Intel,Core i3,11th Gen,Windows 10,8,1 TB,0,1 TB HDD,not mentioned,0.0,4.1,41490,9.0
APPLE,APPLE MacBook Air M1 - (8 GB/256 GB SSD/Mac OS Big Sur) MGND3HN/A,Apple,M1,M1,Mac OS,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.7,92900,0.0
MSI,MSI Bravo 15 Ryzen 5 Hexa Core 4600H - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/AMD Radeon RX 5...,AMD,Ryzen 5Core 4600H,Ryzen 5,Windows 10,16,0,512 GB,512 GB SSD,AMD Radeon RX 5...,4.0,4.5,72990,13.0
MSI,MSI GP65 Leopard Core i7 10th Gen - (16 GB/1 TB HDD/256 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA Ge...,Intel,Core i7,10th Gen,Windows 10,16,1 TB,256 GB,1 TB HDD 256 GB SSD,NVIDIA,6.0,4.7,99990,31.0
HP,HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 13-bb0075TU Thin and Light Laptop,Intel,Core i5,11th Gen,Windows 10,16,0,512 GB,512 GB SSD,not mentioned,0.0,4.4,65990,11.0
Mi,Mi Notebook 14 Core i5 10th Gen - (8 GB/256 GB SSD/Windows 10 Home) JYU4298IN Thin and Light Laptop,Intel,Core i5,10th Gen,Windows 10,8,0,256 GB,256 GB SSD,not mentioned,0.0,4.3,43999,5.0
